[2024-07-01 10:56:53:226] 共享HUMMAP映射名：db
[2024-07-01 10:57:56:961] >>Onrun M2HEART

[2024-07-01 10:57:58:476] >>Onrun M2HEART
[2024-07-01 10:58:00:004] >>Onrun M2HEART
[2024-07-01 10:58:01:520] >>Onrun M2HEART

[2024-07-01 10:58:03:036] >>Onrun M2HEART
[2024-07-01 10:58:04:553] >>Onrun M2HEART
[2024-07-01 10:58:06:074] >>Onrun M2HEART

[2024-07-01 10:58:07:589] >>Onrun M2HEART
[2024-07-01 10:58:09:115] >>Onrun M2HEART
[2024-07-01 10:58:10:616] >>Onrun M2HEART

[2024-07-01 10:58:12:137] >>Onrun M2HEART
[2024-07-01 10:58:13:661] >>Onrun M2HEART
[2024-07-01 10:58:15:173] >>Onrun M2HEART
[2024-07-01 10:58:16:693] >>Onrun M2HEART

[2024-07-01 10:58:18:202] >>Onrun M2HEART
[2024-07-01 10:58:19:710] >>Onrun M2HEART
[2024-07-01 10:58:21:227] >>Onrun M2HEART

[2024-07-01 10:58:22:750] >>Onrun M2HEART
[2024-07-01 10:58:24:263] >>Onrun M2HEART
[2024-07-01 10:58:25:786] >>Onrun M2HEART

[2024-07-01 10:58:27:291] >>Onrun M2HEART
[2024-07-01 10:58:28:818] >>Onrun M2HEART
[2024-07-01 10:58:30:328] >>Onrun M2HEART
[2024-07-01 10:58:31:844] >>Onrun M2HEART

[2024-07-01 10:58:33:355] >>Onrun M2HEART
[2024-07-01 10:58:34:873] >>Onrun M2HEART
[2024-07-01 10:58:36:390] >>Onrun M2HEART

[2024-07-01 10:58:37:908] >>Onrun M2HEART
[2024-07-01 10:58:39:422] >>Onrun M2HEART
[2024-07-01 10:58:40:941] >>Onrun M2HEART

[2024-07-01 10:58:42:449] >>Onrun M2HEART
[2024-07-01 10:58:43:966] >>Onrun M2HEART
[2024-07-01 10:58:45:490] >>Onrun M2HEART
[2024-07-01 10:58:46:994] >>Onrun M2HEART

[2024-07-01 10:58:48:515] >>Onrun M2HEART
[2024-07-01 10:58:50:024] >>Onrun M2HEART
[2024-07-01 10:58:51:550] >>Onrun M2HEART

[2024-07-01 10:58:53:063] >>Onrun M2HEART
[2024-07-01 10:58:54:572] >>Onrun M2HEART
[2024-07-01 10:58:56:085] >>Onrun M2HEART

[2024-07-01 10:58:57:606] >>Onrun M2HEART
[2024-07-01 10:58:59:124] >>Onrun M2HEART
[2024-07-01 10:59:00:633] >>Onrun M2HEART

[2024-07-01 10:59:02:156] >>Onrun M2HEART
[2024-07-01 10:59:03:678] >>Onrun M2HEART
[2024-07-01 10:59:05:202] >>Onrun M2HEART
[2024-07-01 10:59:06:716] >>Onrun M2HEART

[2024-07-01 10:59:08:239] >>Onrun M2HEART
[2024-07-01 10:59:09:751] >>Onrun M2HEART
[2024-07-01 10:59:11:266] >>Onrun M2HEART

[2024-07-01 10:59:12:779] >>Onrun M2HEART
[2024-07-01 10:59:14:293] >>Onrun M2HEART
[2024-07-01 10:59:15:814] >>Onrun M2HEART

[2024-07-01 10:59:17:319] >>Onrun M2HEART
[2024-07-01 10:59:18:849] >>Onrun M2HEART
[2024-07-01 10:59:20:364] >>Onrun M2HEART
[2024-07-01 10:59:21:877] >>Onrun M2HEART

[2024-07-01 10:59:23:392] >>Onrun M2HEART
[2024-07-01 10:59:24:904] >>Onrun M2HEART
[2024-07-01 10:59:26:423] >>Onrun M2HEART

[2024-07-01 10:59:27:937] >>Onrun M2HEART
[2024-07-01 10:59:29:453] >>Onrun M2HEART
[2024-07-01 10:59:30:961] >>Onrun M2HEART

[2024-07-01 10:59:32:480] >>Onrun M2HEART
[2024-07-01 10:59:33:993] >>Onrun M2HEART
[2024-07-01 10:59:35:509] >>Onrun M2HEART

[2024-07-01 10:59:37:024] >>Onrun M2HEART
[2024-07-01 10:59:38:550] >>Onrun M2HEART
[2024-07-01 10:59:40:067] >>Onrun M2HEART
[2024-07-01 10:59:41:576] >>Onrun M2HEART

[2024-07-01 10:59:43:089] >>Onrun M2HEART
[2024-07-01 10:59:44:614] >>Onrun M2HEART
[2024-07-01 10:59:46:126] >>Onrun M2HEART

[2024-07-01 10:59:47:644] >>Onrun M2HEART
[2024-07-01 10:59:49:157] >>Onrun M2HEART
[2024-07-01 10:59:50:666] >>Onrun M2HEART

[2024-07-01 10:59:52:183] >>Onrun M2HEART
[2024-07-01 10:59:53:698] >>Onrun M2HEART
[2024-07-01 10:59:55:212] >>Onrun M2HEART
[2024-07-01 10:59:56:729] >>Onrun M2HEART

[2024-07-01 10:59:58:255] >>Onrun M2HEART
[2024-07-01 10:59:59:760] >>Onrun M2HEART
[2024-07-01 11:00:01:275] >>Onrun M2HEART

[2024-07-01 11:00:02:791] >>Onrun M2HEART
[2024-07-01 11:00:04:314] >>Onrun M2HEART
[2024-07-01 11:00:05:825] >>Onrun M2HEART

[2024-07-01 11:00:07:335] >>Onrun M2HEART
[2024-07-01 11:00:08:861] >>Onrun M2HEART
[2024-07-01 11:00:10:374] >>Onrun M2HEART
[2024-07-01 11:00:11:886] >>Onrun M2HEART

[2024-07-01 11:00:13:411] >>Onrun M2HEART
[2024-07-01 11:00:14:913] >>Onrun M2HEART
[2024-07-01 11:00:16:429] >>Onrun M2HEART

[2024-07-01 11:00:17:955] >>Onrun M2HEART
[2024-07-01 11:00:19:466] >>Onrun M2HEART
[2024-07-01 11:00:20:978] >>Onrun M2HEART

[2024-07-01 11:00:22:504] >>Onrun M2HEART
[2024-07-01 11:00:24:020] >>Onrun M2HEART
[2024-07-01 11:00:25:527] >>Onrun M2HEART

[2024-07-01 11:00:27:041] >>Onrun M2HEART
[2024-07-01 11:00:28:556] >>Onrun M2HEART
[2024-07-01 11:00:30:082] >>Onrun M2HEART
[2024-07-01 11:00:31:592] >>Onrun M2HEART

[2024-07-01 11:00:33:109] >>Onrun M2HEART
[2024-07-01 11:00:34:630] >>Onrun M2HEART
[2024-07-01 11:00:36:143] >>Onrun M2HEART

[2024-07-01 11:00:37:661] >>Onrun M2HEART
[2024-07-01 11:00:39:167] >>Onrun M2HEART
[2024-07-01 11:00:40:693] >>Onrun M2HEART

[2024-07-01 11:00:42:195] >>Onrun M2HEART
[2024-07-01 11:00:43:710] >>Onrun M2HEART
[2024-07-01 11:00:45:237] >>Onrun M2HEART
[2024-07-01 11:00:46:751] >>Onrun M2HEART

[2024-07-01 11:00:48:269] >>Onrun M2HEART
[2024-07-01 11:00:49:779] >>Onrun M2HEART
[2024-07-01 11:00:51:290] >>Onrun M2HEART

[2024-07-01 11:00:52:817] >>Onrun M2HEART
[2024-07-01 11:00:54:333] >>Onrun M2HEART
[2024-07-01 11:00:55:849] >>Onrun M2HEART

[2024-07-01 11:00:57:360] >>Onrun M2HEART
[2024-07-01 11:00:58:879] >>Onrun M2HEART
[2024-07-01 11:01:00:394] >>Onrun M2HEART
[2024-07-01 11:01:01:897] >>Onrun M2HEART

[2024-07-01 11:01:03:413] >>Onrun M2HEART
[2024-07-01 11:01:04:938] >>Onrun M2HEART
[2024-07-01 11:01:06:456] >>Onrun M2HEART

[2024-07-01 11:01:07:974] >>Onrun M2HEART
[2024-07-01 11:01:09:481] >>Onrun M2HEART
[2024-07-01 11:01:10:994] >>Onrun M2HEART

[2024-07-01 11:01:12:507] >>Onrun M2HEART
[2024-07-01 11:01:14:023] >>Onrun M2HEART
[2024-07-01 11:01:15:547] >>Onrun M2HEART

[2024-07-01 11:01:17:059] >>Onrun M2HEART
[2024-07-01 11:01:18:571] >>Onrun M2HEART
[2024-07-01 11:01:20:098] >>Onrun M2HEART
[2024-07-01 11:01:21:606] >>Onrun M2HEART

[2024-07-01 11:01:23:122] >>Onrun M2HEART
[2024-07-01 11:01:24:635] >>Onrun M2HEART
[2024-07-01 11:01:26:155] >>Onrun M2HEART

[2024-07-01 11:01:27:678] >>Onrun M2HEART
[2024-07-01 11:01:29:192] >>Onrun M2HEART
[2024-07-01 11:01:30:701] >>Onrun M2HEART

[2024-07-01 11:01:32:211] >>Onrun M2HEART
[2024-07-01 11:01:33:731] >>Onrun M2HEART
[2024-07-01 11:01:35:254] >>Onrun M2HEART
[2024-07-01 11:01:36:763] >>Onrun M2HEART

[2024-07-01 11:01:38:273] >>Onrun M2HEART
[2024-07-01 11:01:39:803] >>Onrun M2HEART
[2024-07-01 11:01:41:304] >>Onrun M2HEART

[2024-07-01 11:01:42:828] >>Onrun M2HEART
[2024-07-01 11:01:44:347] >>Onrun M2HEART
[2024-07-01 11:01:45:854] >>Onrun M2HEART

[2024-07-01 11:01:47:371] >>Onrun M2HEART
[2024-07-01 11:01:48:896] >>Onrun M2HEART
[2024-07-01 11:01:50:409] >>Onrun M2HEART
[2024-07-01 11:01:51:920] >>Onrun M2HEART

[2024-07-01 11:01:53:436] >>Onrun M2HEART
[2024-07-01 11:01:54:957] >>Onrun M2HEART
[2024-07-01 11:01:56:471] >>Onrun M2HEART

[2024-07-01 11:01:57:977] >>Onrun M2HEART
[2024-07-01 11:01:59:500] >>Onrun M2HEART
[2024-07-01 11:02:01:011] >>Onrun M2HEART

[2024-07-01 11:02:02:533] >>Onrun M2HEART
[2024-07-01 11:02:04:050] >>Onrun M2HEART
[2024-07-01 11:02:05:558] >>Onrun M2HEART

[2024-07-01 11:02:07:081] >>Onrun M2HEART
[2024-07-01 11:02:08:586] >>Onrun M2HEART
[2024-07-01 11:02:10:108] >>Onrun M2HEART
[2024-07-01 11:02:11:618] >>Onrun M2HEART

[2024-07-01 11:02:13:144] >>Onrun M2HEART
[2024-07-01 11:02:14:661] >>Onrun M2HEART
[2024-07-01 11:02:16:164] >>Onrun M2HEART

[2024-07-01 11:02:17:686] >>Onrun M2HEART
[2024-07-01 11:02:19:202] >>Onrun M2HEART
[2024-07-01 11:02:20:711] >>Onrun M2HEART

[2024-07-01 11:02:22:240] >>Onrun M2HEART
[2024-07-01 11:02:23:743] >>Onrun M2HEART
[2024-07-01 11:02:25:261] >>Onrun M2HEART
[2024-07-01 11:02:26:781] >>Onrun M2HEART

[2024-07-01 11:02:28:291] >>Onrun M2HEART
[2024-07-01 11:02:29:818] >>Onrun M2HEART
[2024-07-01 11:02:31:322] >>Onrun M2HEART

[2024-07-01 11:02:32:844] >>Onrun M2HEART
[2024-07-01 11:02:34:355] >>Onrun M2HEART
[2024-07-01 11:02:35:870] >>Onrun M2HEART

[2024-07-01 11:02:37:393] >>Onrun M2HEART
[2024-07-01 11:02:38:909] >>Onrun M2HEART
[2024-07-01 11:02:40:422] >>Onrun M2HEART
[2024-07-01 11:02:41:940] >>Onrun M2HEART

[2024-07-01 11:02:43:454] >>Onrun M2HEART
[2024-07-01 11:02:44:960] >>Onrun M2HEART
[2024-07-01 11:02:46:476] >>Onrun M2HEART

[2024-07-01 11:02:48:003] >>Onrun M2HEART
[2024-07-01 11:02:49:517] >>Onrun M2HEART
[2024-07-01 11:02:51:032] >>Onrun M2HEART

[2024-07-01 11:02:52:552] >>Onrun M2HEART
[2024-07-01 11:02:54:058] >>Onrun M2HEART
[2024-07-01 11:02:55:575] >>Onrun M2HEART

[2024-07-01 11:02:57:098] >>Onrun M2HEART
[2024-07-01 11:02:58:603] >>Onrun M2HEART
[2024-07-01 11:03:00:119] >>Onrun M2HEART
[2024-07-01 11:03:01:635] >>Onrun M2HEART

[2024-07-01 11:03:03:160] >>Onrun M2HEART
[2024-07-01 11:03:04:666] >>Onrun M2HEART
[2024-07-01 11:03:06:179] >>Onrun M2HEART

[2024-07-01 11:03:07:698] >>Onrun M2HEART
[2024-07-01 11:03:09:220] >>Onrun M2HEART
[2024-07-01 11:03:10:726] >>Onrun M2HEART

[2024-07-01 11:03:12:246] >>Onrun M2HEART
[2024-07-01 11:03:13:768] >>Onrun M2HEART
[2024-07-01 11:03:15:275] >>Onrun M2HEART
[2024-07-01 11:03:16:788] >>Onrun M2HEART

[2024-07-01 11:03:18:311] >>Onrun M2HEART
[2024-07-01 11:03:19:830] >>Onrun M2HEART
[2024-07-01 11:03:21:340] >>Onrun M2HEART

[2024-07-01 11:03:22:862] >>Onrun M2HEART
[2024-07-01 11:03:24:376] >>Onrun M2HEART
[2024-07-01 11:03:25:891] >>Onrun M2HEART

[2024-07-01 11:03:27:408] >>Onrun M2HEART
[2024-07-01 11:03:28:922] >>Onrun M2HEART
[2024-07-01 11:03:30:436] >>Onrun M2HEART
[2024-07-01 11:03:31:949] >>Onrun M2HEART

[2024-07-01 11:03:33:463] >>Onrun M2HEART
[2024-07-01 11:03:34:981] >>Onrun M2HEART
[2024-07-01 11:03:36:496] >>Onrun M2HEART

[2024-07-01 11:03:38:020] >>Onrun M2HEART
[2024-07-01 11:03:39:525] >>Onrun M2HEART
[2024-07-01 11:03:41:049] >>Onrun M2HEART

[2024-07-01 11:03:42:555] >>Onrun M2HEART
[2024-07-01 11:03:44:080] >>Onrun M2HEART
[2024-07-01 11:03:45:592] >>Onrun M2HEART

[2024-07-01 11:03:47:111] >>Onrun M2HEART
[2024-07-01 11:03:48:624] >>Onrun M2HEART
[2024-07-01 11:03:50:142] >>Onrun M2HEART
[2024-07-01 11:03:51:654] >>Onrun M2HEART

[2024-07-01 11:03:53:165] >>Onrun M2HEART
[2024-07-01 11:03:54:680] >>Onrun M2HEART
[2024-07-01 11:03:56:204] >>Onrun M2HEART

[2024-07-01 11:03:57:717] >>Onrun M2HEART
[2024-07-01 11:03:59:230] >>Onrun M2HEART
[2024-07-01 11:04:00:754] >>Onrun M2HEART

[2024-07-01 11:04:02:115] >>>CancelAdmission:R]LPM\Jnhagyh\/1
[2024-07-01 11:04:02:115] >>>DelSession:1,2006577247
[2024-07-01 11:04:02:269] >>Onrun M2HEART
[2024-07-01 11:04:03:777] >>Onrun M2HEART
[2024-07-01 11:04:05:290] >>Onrun M2HEART
[2024-07-01 11:04:06:817] >>Onrun M2HEART

[2024-07-01 11:04:08:324] >>Onrun M2HEART
[2024-07-01 11:04:09:847] >>Onrun M2HEART
[2024-07-01 11:04:11:351] >>Onrun M2HEART

[2024-07-01 11:04:12:871] >>Onrun M2HEART
[2024-07-01 11:04:14:394] >>Onrun M2HEART
[2024-07-01 11:04:15:904] >>Onrun M2HEART

[2024-07-01 11:04:17:416] >>Onrun M2HEART
[2024-07-01 11:04:18:931] >>Onrun M2HEART
[2024-07-01 11:04:20:452] >>Onrun M2HEART
[2024-07-01 11:04:21:974] >>Onrun M2HEART

[2024-07-01 11:04:23:480] >>Onrun M2HEART
[2024-07-01 11:04:25:003] >>Onrun M2HEART
[2024-07-01 11:04:26:521] >>Onrun M2HEART

[2024-07-01 11:04:28:023] >>Onrun M2HEART
[2024-07-01 11:04:29:546] >>Onrun M2HEART
[2024-07-01 11:04:31:065] >>Onrun M2HEART

[2024-07-01 11:04:32:583] >>Onrun M2HEART
[2024-07-01 11:04:34:091] >>Onrun M2HEART
[2024-07-01 11:04:35:615] >>Onrun M2HEART

[2024-07-01 11:04:37:124] >>Onrun M2HEART
[2024-07-01 11:04:38:639] >>Onrun M2HEART
[2024-07-01 11:04:40:153] >>Onrun M2HEART
[2024-07-01 11:04:41:674] >>Onrun M2HEART

[2024-07-01 11:04:43:180] >>Onrun M2HEART
[2024-07-01 11:04:44:697] >>Onrun M2HEART
[2024-07-01 11:04:46:219] >>Onrun M2HEART

[2024-07-01 11:04:47:727] >>Onrun M2HEART
[2024-07-01 11:04:49:251] >>Onrun M2HEART
[2024-07-01 11:04:50:767] >>Onrun M2HEART

[2024-07-01 11:04:52:279] >>Onrun M2HEART
[2024-07-01 11:04:53:801] >>Onrun M2HEART
[2024-07-01 11:04:55:318] >>Onrun M2HEART
[2024-07-01 11:04:56:825] >>Onrun M2HEART

[2024-07-01 11:04:58:343] >>Onrun M2HEART
[2024-07-01 11:04:59:856] >>Onrun M2HEART
[2024-07-01 11:05:01:380] >>Onrun M2HEART

[2024-07-01 11:05:02:886] >>Onrun M2HEART
[2024-07-01 11:05:04:400] >>Onrun M2HEART
[2024-07-01 11:05:05:923] >>Onrun M2HEART

[2024-07-01 11:05:07:428] >>Onrun M2HEART
[2024-07-01 11:05:08:954] >>Onrun M2HEART
[2024-07-01 11:05:10:472] >>Onrun M2HEART
[2024-07-01 11:05:11:987] >>Onrun M2HEART

[2024-07-01 11:05:13:492] >>Onrun M2HEART
[2024-07-01 11:05:15:021] >>Onrun M2HEART
[2024-07-01 11:05:16:522] >>Onrun M2HEART

[2024-07-01 11:05:18:051] >>Onrun M2HEART
[2024-07-01 11:05:19:561] >>Onrun M2HEART
[2024-07-01 11:05:21:075] >>Onrun M2HEART

[2024-07-01 11:05:22:588] >>Onrun M2HEART
[2024-07-01 11:05:24:103] >>Onrun M2HEART
[2024-07-01 11:05:25:632] >>Onrun M2HEART

[2024-07-01 11:05:27:156] >>Onrun M2HEART
[2024-07-01 11:05:28:671] >>Onrun M2HEART
[2024-07-01 11:05:30:181] >>Onrun M2HEART
[2024-07-01 11:05:31:709] >>Onrun M2HEART

[2024-07-01 11:05:33:212] >>Onrun M2HEART
[2024-07-01 11:05:34:730] >>Onrun M2HEART
[2024-07-01 11:05:36:254] >>Onrun M2HEART

[2024-07-01 11:05:37:760] >>Onrun M2HEART
[2024-07-01 11:05:39:278] >>Onrun M2HEART
[2024-07-01 11:05:40:803] >>Onrun M2HEART

[2024-07-01 11:05:42:309] >>Onrun M2HEART
[2024-07-01 11:05:43:831] >>Onrun M2HEART
[2024-07-01 11:05:45:341] >>Onrun M2HEART
[2024-07-01 11:05:46:864] >>Onrun M2HEART

[2024-07-01 11:05:48:380] >>Onrun M2HEART
[2024-07-01 11:05:49:889] >>Onrun M2HEART
[2024-07-01 11:05:51:399] >>Onrun M2HEART

[2024-07-01 11:05:52:920] >>Onrun M2HEART
[2024-07-01 11:05:54:443] >>Onrun M2HEART
[2024-07-01 11:05:55:959] >>Onrun M2HEART

[2024-07-01 11:05:57:470] >>Onrun M2HEART
[2024-07-01 11:05:58:980] >>Onrun M2HEART
[2024-07-01 11:06:00:505] >>Onrun M2HEART
[2024-07-01 11:06:02:014] >>Onrun M2HEART

[2024-07-01 11:06:03:538] >>Onrun M2HEART
[2024-07-01 11:06:05:047] >>Onrun M2HEART
[2024-07-01 11:06:06:556] >>Onrun M2HEART

[2024-07-01 11:06:08:083] >>Onrun M2HEART
[2024-07-01 11:06:09:592] >>Onrun M2HEART
[2024-07-01 11:06:11:101] >>Onrun M2HEART

[2024-07-01 11:06:12:629] >>Onrun M2HEART
[2024-07-01 11:06:14:139] >>Onrun M2HEART
[2024-07-01 11:06:15:660] >>Onrun M2HEART

[2024-07-01 11:06:17:167] >>Onrun M2HEART
[2024-07-01 11:06:18:691] >>Onrun M2HEART
[2024-07-01 11:06:20:199] >>Onrun M2HEART
[2024-07-01 11:06:21:717] >>Onrun M2HEART

[2024-07-01 11:06:23:232] >>Onrun M2HEART
[2024-07-01 11:06:24:751] >>Onrun M2HEART
[2024-07-01 11:06:26:260] >>Onrun M2HEART

[2024-07-01 11:06:27:778] >>Onrun M2HEART
[2024-07-01 11:06:29:300] >>Onrun M2HEART
[2024-07-01 11:06:30:809] >>Onrun M2HEART

[2024-07-01 11:06:32:333] >>Onrun M2HEART
[2024-07-01 11:06:33:846] >>Onrun M2HEART
[2024-07-01 11:06:35:356] >>Onrun M2HEART
[2024-07-01 11:06:36:868] >>Onrun M2HEART

[2024-07-01 11:06:38:395] >>Onrun M2HEART
[2024-07-01 11:06:39:907] >>Onrun M2HEART
[2024-07-01 11:06:41:414] >>Onrun M2HEART

[2024-07-01 11:06:42:942] >>Onrun M2HEART
[2024-07-01 11:06:44:454] >>Onrun M2HEART
[2024-07-01 11:06:45:966] >>Onrun M2HEART

[2024-07-01 11:06:47:486] >>Onrun M2HEART
[2024-07-01 11:06:49:004] >>Onrun M2HEART
[2024-07-01 11:06:50:516] >>Onrun M2HEART

[2024-07-01 11:06:52:035] >>Onrun M2HEART
[2024-07-01 11:06:53:551] >>Onrun M2HEART
[2024-07-01 11:06:55:064] >>Onrun M2HEART
[2024-07-01 11:06:56:572] >>Onrun M2HEART

[2024-07-01 11:06:58:100] >>Onrun M2HEART
[2024-07-01 11:06:59:615] >>Onrun M2HEART
[2024-07-01 11:07:01:125] >>Onrun M2HEART

[2024-07-01 11:07:02:636] >>Onrun M2HEART
[2024-07-01 11:07:04:161] >>Onrun M2HEART
[2024-07-01 11:07:05:673] >>Onrun M2HEART

[2024-07-01 11:07:07:180] >>Onrun M2HEART
[2024-07-01 11:07:08:700] >>Onrun M2HEART
[2024-07-01 11:07:10:225] >>Onrun M2HEART
[2024-07-01 11:07:11:756] >>Onrun M2HEART

[2024-07-01 11:07:13:257] >>Onrun M2HEART
[2024-07-01 11:07:14:780] >>Onrun M2HEART
[2024-07-01 11:07:16:301] >>Onrun M2HEART

[2024-07-01 11:07:17:806] >>Onrun M2HEART
[2024-07-01 11:07:19:323] >>Onrun M2HEART
[2024-07-01 11:07:20:849] >>Onrun M2HEART

[2024-07-01 11:07:22:365] >>Onrun M2HEART
[2024-07-01 11:07:23:872] >>Onrun M2HEART
[2024-07-01 11:07:25:394] >>Onrun M2HEART
[2024-07-01 11:07:26:902] >>Onrun M2HEART

[2024-07-01 11:07:28:415] >>Onrun M2HEART
[2024-07-01 11:07:29:937] >>Onrun M2HEART
[2024-07-01 11:07:31:445] >>Onrun M2HEART

[2024-07-01 11:07:32:962] >>Onrun M2HEART
[2024-07-01 11:07:34:484] >>Onrun M2HEART
[2024-07-01 11:07:35:998] >>Onrun M2HEART

[2024-07-01 11:07:37:520] >>Onrun M2HEART
[2024-07-01 11:07:39:027] >>Onrun M2HEART
[2024-07-01 11:07:40:550] >>Onrun M2HEART

[2024-07-01 11:07:42:063] >>Onrun M2HEART
[2024-07-01 11:07:43:581] >>Onrun M2HEART
[2024-07-01 11:07:45:096] >>Onrun M2HEART
[2024-07-01 11:07:46:613] >>Onrun M2HEART

[2024-07-01 11:07:48:119] >>Onrun M2HEART
[2024-07-01 11:07:49:636] >>Onrun M2HEART
[2024-07-01 11:07:51:157] >>Onrun M2HEART

[2024-07-01 11:07:52:670] >>Onrun M2HEART
[2024-07-01 11:07:54:187] >>Onrun M2HEART
[2024-07-01 11:07:55:703] >>Onrun M2HEART

[2024-07-01 11:07:57:216] >>Onrun M2HEART
[2024-07-01 11:07:58:731] >>Onrun M2HEART
[2024-07-01 11:08:00:243] >>Onrun M2HEART
[2024-07-01 11:08:01:764] >>Onrun M2HEART

[2024-07-01 11:08:03:274] >>Onrun M2HEART
[2024-07-01 11:08:04:789] >>Onrun M2HEART
[2024-07-01 11:08:06:306] >>Onrun M2HEART

[2024-07-01 11:08:07:826] >>Onrun M2HEART
[2024-07-01 11:08:09:350] >>Onrun M2HEART
[2024-07-01 11:08:10:850] >>Onrun M2HEART

[2024-07-01 11:08:12:369] >>Onrun M2HEART
[2024-07-01 11:08:13:888] >>Onrun M2HEART
[2024-07-01 11:08:15:407] >>Onrun M2HEART
[2024-07-01 11:08:16:921] >>Onrun M2HEART

[2024-07-01 11:08:18:431] >>Onrun M2HEART
[2024-07-01 11:08:19:951] >>Onrun M2HEART
