[2024-07-02 10:01:41:765] 共享HUMMAP映射名：sjk
[2024-07-02 10:07:48:555] >>Onrun M2HEART

[2024-07-02 10:07:50:070] >>Onrun M2HEART
[2024-07-02 10:07:51:592] >>Onrun M2HEART
[2024-07-02 10:07:53:110] >>Onrun M2HEART

[2024-07-02 10:07:54:623] >>Onrun M2HEART
[2024-07-02 10:07:56:139] >>Onrun M2HEART
[2024-07-02 10:07:57:653] >>Onrun M2HEART

[2024-07-02 10:07:59:174] >>Onrun M2HEART
[2024-07-02 10:08:00:680] >>Onrun M2HEART
[2024-07-02 10:08:02:198] >>Onrun M2HEART
[2024-07-02 10:08:03:716] >>Onrun M2HEART

[2024-07-02 10:08:05:235] >>Onrun M2HEART
[2024-07-02 10:08:06:751] >>Onrun M2HEART
[2024-07-02 10:08:08:260] >>Onrun M2HEART

[2024-07-02 10:08:09:778] >>Onrun M2HEART
[2024-07-02 10:08:11:297] >>Onrun M2HEART
[2024-07-02 10:08:12:813] >>Onrun M2HEART

[2024-07-02 10:08:14:331] >>Onrun M2HEART
[2024-07-02 10:08:15:846] >>Onrun M2HEART
[2024-07-02 10:08:17:356] >>Onrun M2HEART
[2024-07-02 10:08:18:878] >>Onrun M2HEART

[2024-07-02 10:08:20:389] >>Onrun M2HEART
[2024-07-02 10:08:21:909] >>Onrun M2HEART
[2024-07-02 10:08:23:423] >>Onrun M2HEART

[2024-07-02 10:08:24:929] >>Onrun M2HEART
[2024-07-02 10:08:26:457] >>Onrun M2HEART
[2024-07-02 10:08:27:965] >>Onrun M2HEART

[2024-07-02 10:08:29:475] >>Onrun M2HEART
[2024-07-02 10:08:30:998] >>Onrun M2HEART
[2024-07-02 10:08:32:508] >>Onrun M2HEART

[2024-07-02 10:08:34:024] >>Onrun M2HEART
[2024-07-02 10:08:35:546] >>Onrun M2HEART
[2024-07-02 10:08:37:067] >>Onrun M2HEART
[2024-07-02 10:08:38:573] >>Onrun M2HEART

[2024-07-02 10:08:40:092] >>Onrun M2HEART
[2024-07-02 10:08:41:612] >>Onrun M2HEART
[2024-07-02 10:08:43:127] >>Onrun M2HEART

[2024-07-02 10:08:44:634] >>Onrun M2HEART
[2024-07-02 10:08:46:154] >>Onrun M2HEART
[2024-07-02 10:08:47:666] >>Onrun M2HEART

[2024-07-02 10:08:49:188] >>Onrun M2HEART
[2024-07-02 10:08:50:694] >>Onrun M2HEART
[2024-07-02 10:08:52:222] >>Onrun M2HEART
[2024-07-02 10:08:53:725] >>Onrun M2HEART

[2024-07-02 10:08:55:250] >>Onrun M2HEART
[2024-07-02 10:08:56:757] >>Onrun M2HEART
[2024-07-02 10:08:58:287] >>Onrun M2HEART

[2024-07-02 10:08:59:801] >>Onrun M2HEART
[2024-07-02 10:09:01:309] >>Onrun M2HEART
[2024-07-02 10:09:02:826] >>Onrun M2HEART

[2024-07-02 10:09:04:344] >>Onrun M2HEART
[2024-07-02 10:09:05:851] >>Onrun M2HEART
[2024-07-02 10:09:07:372] >>Onrun M2HEART
[2024-07-02 10:09:08:887] >>Onrun M2HEART

[2024-07-02 10:09:10:406] >>Onrun M2HEART
[2024-07-02 10:09:11:921] >>Onrun M2HEART
[2024-07-02 10:09:13:434] >>Onrun M2HEART

[2024-07-02 10:09:14:953] >>Onrun M2HEART
[2024-07-02 10:09:16:459] >>Onrun M2HEART
[2024-07-02 10:09:17:986] >>Onrun M2HEART

[2024-07-02 10:09:19:499] >>Onrun M2HEART
[2024-07-02 10:09:21:007] >>Onrun M2HEART
[2024-07-02 10:09:22:533] >>Onrun M2HEART

[2024-07-02 10:09:24:043] >>Onrun M2HEART
[2024-07-02 10:09:25:557] >>Onrun M2HEART
[2024-07-02 10:09:27:077] >>Onrun M2HEART
[2024-07-02 10:09:28:591] >>Onrun M2HEART

[2024-07-02 10:09:30:109] >>Onrun M2HEART
[2024-07-02 10:09:31:616] >>Onrun M2HEART
[2024-07-02 10:09:33:137] >>Onrun M2HEART

[2024-07-02 10:09:34:651] >>Onrun M2HEART
[2024-07-02 10:09:36:170] >>Onrun M2HEART
[2024-07-02 10:09:37:690] >>Onrun M2HEART

[2024-07-02 10:09:39:194] >>Onrun M2HEART
[2024-07-02 10:09:40:722] >>Onrun M2HEART
[2024-07-02 10:09:42:236] >>Onrun M2HEART
[2024-07-02 10:09:43:755] >>Onrun M2HEART

[2024-07-02 10:09:45:263] >>Onrun M2HEART
[2024-07-02 10:09:46:779] >>Onrun M2HEART
[2024-07-02 10:09:48:289] >>Onrun M2HEART

[2024-07-02 10:09:49:814] >>Onrun M2HEART
[2024-07-02 10:09:51:324] >>Onrun M2HEART
[2024-07-02 10:09:52:839] >>Onrun M2HEART

[2024-07-02 10:09:54:364] >>Onrun M2HEART
[2024-07-02 10:09:55:865] >>Onrun M2HEART
[2024-07-02 10:09:57:392] >>Onrun M2HEART
[2024-07-02 10:09:58:909] >>Onrun M2HEART

[2024-07-02 10:10:00:418] >>Onrun M2HEART
[2024-07-02 10:10:01:932] >>Onrun M2HEART
[2024-07-02 10:10:03:458] >>Onrun M2HEART

[2024-07-02 10:10:04:971] >>Onrun M2HEART
[2024-07-02 10:10:06:483] >>Onrun M2HEART
[2024-07-02 10:10:07:997] >>Onrun M2HEART

[2024-07-02 10:10:26:236] 共享HUMMAP映射名：sjk
[2024-07-02 10:10:29:324] >>Onrun M2HEART

[2024-07-02 10:10:30:835] >>Onrun M2HEART
[2024-07-02 10:10:31:094] 加载新版地图14字节: .\Map\xc1.map(300/300)
[2024-07-02 10:10:31:096] 加载新版地图14字节: .\Map\xcboss.map(150/150)
[2024-07-02 10:10:31:096] 加载新版地图14字节: .\Map\xcljtd.map(100/100)
[2024-07-02 10:10:31:097] 加载新版地图14字节: .\Map\nanm.map(350/350)
[2024-07-02 10:10:31:099] 加载新版地图36字节: .\Map\hsdx1.map(250/250)
[2024-07-02 10:10:31:100] 加载新版地图36字节: .\Map\hsdx2.map(250/250)
[2024-07-02 10:10:31:101] 加载新版地图36字节: .\Map\hsdx3.map(100/100)
[2024-07-02 10:10:31:103] 加载新版地图36字节: .\Map\ygfx3.map(300/300)
[2024-07-02 10:10:31:105] 加载新版地图36字节: .\Map\mirdota02.map(260/300)
[2024-07-02 10:10:31:109] 加载新版地图36字节: .\Map\nalx.map(400/520)
[2024-07-02 10:10:31:112] 加载新版地图14字节: .\Map\ygsd1.map(300/300)
[2024-07-02 10:10:31:114] 加载新版地图36字节: .\Map\ygsd2.map(300/300)
[2024-07-02 10:10:31:117] 加载新版地图36字节: .\Map\ygsd3.map(300/300)
[2024-07-02 10:10:31:118] 加载新版地图14字节: .\Map\ygsd4.map(150/150)
[2024-07-02 10:10:31:119] 加载新版地图36字节: .\Map\nch001.map(300/300)
[2024-07-02 10:10:31:121] 加载新版地图14字节: .\Map\hf001.map(300/300)
[2024-07-02 10:10:31:123] 加载新版地图14字节: .\Map\hf002.map(300/300)
[2024-07-02 10:10:31:124] 加载新版地图14字节: .\Map\hf003.map(300/300)
[2024-07-02 10:10:31:126] 加载新版地图14字节: .\Map\hf004.map(300/300)
[2024-07-02 10:10:31:127] 加载新版地图36字节: .\Map\hf005.map(100/100)
[2024-07-02 10:10:31:128] 加载新版地图36字节: .\Map\sldx.map(230/180)
[2024-07-02 10:10:31:129] 加载新版地图36字节: .\Map\d2.map(200/200)
[2024-07-02 10:10:31:131] 加载新版地图36字节: .\Map\nkuanggong.map(300/300)
[2024-07-02 10:10:31:136] 加载新版地图36字节: .\Map\yabiao.map(500/500)
[2024-07-02 10:10:32:355] >>Onrun M2HEART
[2024-07-02 10:10:33:868] >>Onrun M2HEART

[2024-07-02 10:10:35:388] >>Onrun M2HEART
[2024-07-02 10:10:36:900] >>Onrun M2HEART
[2024-07-02 10:10:38:426] >>Onrun M2HEART
[2024-07-02 10:10:39:941] >>Onrun M2HEART

[2024-07-02 10:10:41:459] >>Onrun M2HEART
[2024-07-02 10:10:42:978] >>Onrun M2HEART
[2024-07-02 10:10:44:506] >>Onrun M2HEART

[2024-07-02 10:10:46:035] >>Onrun M2HEART
[2024-07-02 10:10:47:542] >>Onrun M2HEART
[2024-07-02 10:10:49:054] >>Onrun M2HEART

[2024-07-02 10:10:50:572] >>Onrun M2HEART
[2024-07-02 10:10:52:086] >>Onrun M2HEART
[2024-07-02 10:10:53:614] >>Onrun M2HEART

[2024-07-02 10:10:55:130] >>Onrun M2HEART
[2024-07-02 10:10:56:636] >>Onrun M2HEART
[2024-07-02 10:10:58:161] >>Onrun M2HEART
[2024-07-02 10:10:59:669] >>Onrun M2HEART

[2024-07-02 10:11:01:187] >>Onrun M2HEART
[2024-07-02 10:11:02:695] >>Onrun M2HEART
[2024-07-02 10:11:04:218] >>Onrun M2HEART

[2024-07-02 10:11:05:730] >>Onrun M2HEART
[2024-07-02 10:11:07:254] >>Onrun M2HEART
[2024-07-02 10:11:08:763] >>Onrun M2HEART

[2024-07-02 10:11:10:275] >>Onrun M2HEART
[2024-07-02 10:11:11:795] >>Onrun M2HEART
[2024-07-02 10:11:13:313] >>Onrun M2HEART
[2024-07-02 10:11:14:824] >>Onrun M2HEART

[2024-07-02 10:11:16:338] >>Onrun M2HEART
[2024-07-02 10:11:17:865] >>Onrun M2HEART
[2024-07-02 10:11:19:381] >>Onrun M2HEART

[2024-07-02 10:11:20:897] >>Onrun M2HEART
[2024-07-02 10:11:22:420] >>Onrun M2HEART
[2024-07-02 10:11:23:938] >>Onrun M2HEART

[2024-07-02 10:11:25:449] >>Onrun M2HEART
[2024-07-02 10:11:26:969] >>Onrun M2HEART
[2024-07-02 10:11:28:477] >>Onrun M2HEART
[2024-07-02 10:11:29:661] GM_OPEN nSocket 0 wGSocketIdx 2132148240
[2024-07-02 10:11:29:661] >>Login: 1 
[2024-07-02 10:11:29:661] >>LoginInfo: *#2006577247/史旻佑/20000000001719886289000001130/1/2/0/1/0/1/1/0/1
[2024-07-02 10:11:29:661] >>Login: 2 2006577247, sessionID:1
[2024-07-02 10:11:29:661] >>Login: 3 2006577247
[2024-07-02 10:11:29:661] AddToLoadRcdList 2006577247 20000000001719886289000001130 nSocket 0 nGSocketIdx 2132148240 nGateIdx 0
[2024-07-02 10:11:29:677] >>Login: TFrontEngine.LoadHumFromDB 2006577247-20000000001719886289000001130,flag:111 Load:0 
[2024-07-02 10:11:29:785] >>Login: 6-1 2006577247
[2024-07-02 10:11:29:786] >>史旻佑，变量加载中...
[2024-07-02 10:11:29:786] >>史旻佑，数据库加载变量
[2024-07-02 10:11:29:786] >>Login: 6-3 2006577247, AType:0
[2024-07-02 10:11:29:787] >>Login: 7 2006577247
[2024-07-02 10:11:29:787] MakeNewHuman TEnvirnoment.AddPlayer: 史旻佑-20000000001719886289000001130 HP:15 map:0
[2024-07-02 10:11:29:801] >>Login: 8 2006577247
[2024-07-02 10:11:30:001] >>Onrun M2HEART

[2024-07-02 10:11:31:507] >>Onrun M2HEART
[2024-07-02 10:11:31:507] 消息记录:史旻佑[0-290,618] -> 1018,0,41944176,0,1,{"tripartite":0,"gameid":1,"packageName":"package","channelId":"1"}
[2024-07-02 10:11:31:539] >>Login: 9 2006577247
[2024-07-02 10:11:31:539] >>Login: 10 cfg_game_data,  -> 48ae2d3436f0f8f73950d8f65d355fe0
[2024-07-02 10:11:31:539] >>Login: 10 cfg_suit,  -> 356fb318749367f632ec3ac3aee67443
[2024-07-02 10:11:31:539] >>Login: 10 cfg_stditem,  -> 9db922591be57f5cc59f1ab6c55a7c87875e0e84a305fdb9e2de673ff027c404
[2024-07-02 10:11:31:547] >>Login: 10 ItemDescList,  -> 1167f811c8e24aef30cbab79cf27d7c0
[2024-07-02 10:11:31:548] >>Login: 10 cfg_unbindlist,  -> d78ecb17647e0ce4332eb505f652e2ff
[2024-07-02 10:11:31:548] >>Login: 11 2006577247
[2024-07-02 10:11:31:648] Title Load:史旻佑 - 
[2024-07-02 10:11:31:648] GM命令2：史旻佑, TestStatus, @TestStatus 5 3       
[2024-07-02 10:11:31:648] GM命令2：史旻佑, Superman, @Superman         
[2024-07-02 10:11:31:884] 消息记录:史旻佑[0-290,618] -> 1046,0,0,0,1,
[2024-07-02 10:11:31:884] 消息记录:史旻佑[0-290,618] -> 1046,0,0,0,2,
